idx,file,label,cls,group,part
72,00072.png,1,ischemic,68,train
73,00073.png,1,ischemic,69,val
74,00074.png,1,ischemic,70,train
75,00075.png,1,ischemic,71,train
76,00076.png,1,ischemic,72,train
77,00077.png,1,ischemic,73,train
78,00078.png,1,ischemic,74,train
79,00079.png,1,ischemic,75,train
80,00080.png,1,ischemic,76,train
81,00081.png,1,ischemic,77,train
82,00082.png,1,ischemic,78,train
83,00083.png,1,ischemic,79,train
84,00084.png,1,ischemic,80,val
85,00085.png,1,ischemic,81,train
86,00086.png,1,ischemic,82,train
87,00087.png,1,ischemic,83,val
88,00088.png,1,ischemic,84,train
89,00089.png,1,ischemic,85,train
90,00090.png,1,ischemic,86,train
91,00091.png,1,ischemic,87,train
92,00092.png,1,ischemic,134,train
93,00093.png,1,ischemic,88,test
94,00094.png,1,ischemic,89,train
95,00095.png,1,ischemic,90,test
96,00096.png,1,ischemic,91,train
97,00097.png,1,ischemic,68,train
98,00098.png,1,ischemic,92,train
99,00099.png,1,ischemic,50,train
100,00100.png,1,ischemic,93,test
101,00101.png,1,ischemic,94,train
102,00102.png,1,ischemic,95,train
103,00103.png,1,ischemic,96,test
104,00104.png,1,ischemic,97,train
105,00105.png,1,ischemic,98,val
106,00106.png,1,ischemic,99,train
107,00107.png,1,ischemic,100,train
108,00108.png,1,ischemic,101,train
109,00109.png,1,ischemic,102,train
110,00110.png,1,ischemic,103,train
111,00111.png,1,ischemic,104,train
112,00112.png,1,ischemic,921,test
113,00113.png,1,ischemic,105,val
114,00114.png,1,ischemic,106,train
115,00115.png,1,ischemic,107,train
116,00116.png,1,ischemic,108,train
117,00117.png,1,ischemic,109,train
118,00118.png,1,ischemic,110,val
119,00119.png,1,ischemic,111,train
120,00120.png,1,ischemic,112,train
121,00121.png,1,ischemic,113,train
122,00122.png,1,ischemic,114,train
123,00123.png,1,ischemic,115,train
124,00124.png,1,ischemic,116,train
125,00125.png,1,ischemic,117,train
126,00126.png,1,ischemic,118,train
127,00127.png,1,ischemic,119,train
128,00128.png,1,ischemic,120,test
129,00129.png,1,ischemic,121,train
130,00130.png,1,ischemic,122,train
131,00131.png,1,ischemic,123,train
132,00132.png,1,ischemic,124,train
133,00133.png,1,ischemic,125,train
134,00134.png,1,ischemic,126,train
135,00135.png,1,ischemic,127,train
136,00136.png,1,ischemic,128,test
137,00137.png,1,ischemic,129,train
138,00138.png,1,ischemic,130,val
139,00139.png,1,ischemic,131,train
140,00140.png,1,ischemic,28,test
141,00141.png,1,ischemic,132,val
142,00142.png,1,ischemic,133,test
143,00143.png,1,ischemic,134,train
144,00144.png,1,ischemic,135,val
145,00145.png,1,ischemic,136,val
146,00146.png,1,ischemic,137,train
147,00147.png,1,ischemic,138,train
148,00148.png,1,ischemic,139,test
149,00149.png,1,ischemic,140,train
150,00150.png,1,ischemic,107,train
151,00151.png,1,ischemic,141,train
152,00152.png,1,ischemic,142,train
153,00153.png,1,ischemic,143,val
154,00154.png,1,ischemic,144,train
155,00155.png,1,ischemic,134,train
156,00156.png,1,ischemic,145,val
157,00157.png,1,ischemic,146,train
158,00158.png,1,ischemic,147,val
159,00159.png,1,ischemic,148,train
160,00160.png,1,ischemic,149,train
161,00161.png,1,ischemic,150,train
162,00162.png,1,ischemic,151,train
163,00163.png,1,ischemic,286,train
164,00164.png,1,ischemic,152,train
165,00165.png,1,ischemic,153,test
166,00166.png,1,ischemic,154,val
167,00167.png,1,ischemic,155,train
168,00168.png,1,ischemic,156,train
169,00169.png,1,ischemic,157,val
170,00170.png,1,ischemic,286,train
171,00171.png,1,ischemic,158,val
172,00172.png,1,ischemic,159,train
173,00173.png,1,ischemic,160,train
174,00174.png,1,ischemic,161,test
175,00175.png,1,ischemic,162,train
176,00176.png,1,ischemic,75,train
177,00177.png,1,ischemic,163,val
178,00178.png,1,ischemic,164,train
179,00179.png,1,ischemic,165,test
180,00180.png,1,ischemic,166,train
181,00181.png,1,ischemic,167,val
182,00182.png,1,ischemic,168,train
183,00183.png,1,ischemic,169,train
184,00184.png,1,ischemic,170,train
185,00185.png,1,ischemic,171,val
186,00186.png,1,ischemic,172,val
187,00187.png,1,ischemic,173,test
188,00188.png,1,ischemic,174,train
189,00189.png,1,ischemic,175,train
190,00190.png,1,ischemic,75,train
191,00191.png,1,ischemic,176,val
192,00192.png,1,ischemic,177,val
193,00193.png,1,ischemic,178,train
194,00194.png,1,ischemic,179,test
195,00195.png,1,ischemic,180,train
196,00196.png,1,ischemic,181,val
197,00197.png,1,ischemic,182,train
198,00198.png,1,ischemic,183,test
199,00199.png,1,ischemic,184,val
200,00200.png,1,ischemic,185,train
201,00201.png,1,ischemic,186,train
202,00202.png,1,ischemic,187,train
203,00203.png,1,ischemic,188,val
204,00204.png,1,ischemic,75,train
205,00205.png,1,ischemic,189,val
206,00206.png,1,ischemic,190,test
207,00207.png,1,ischemic,191,train
208,00208.png,1,ischemic,192,val
209,00209.png,1,ischemic,193,train
210,00210.png,1,ischemic,194,train
211,00211.png,1,ischemic,195,val
212,00212.png,1,ischemic,196,train
213,00213.png,1,ischemic,197,train
214,00214.png,1,ischemic,198,train
215,00215.png,1,ischemic,199,val
216,00216.png,1,ischemic,200,train
217,00217.png,1,ischemic,201,train
218,00218.png,1,ischemic,202,val
219,00219.png,1,ischemic,203,train
220,00220.png,1,ischemic,204,train
221,00221.png,1,ischemic,205,train
222,00222.png,1,ischemic,206,test
223,00223.png,1,ischemic,207,train
224,00224.png,1,ischemic,208,train
225,00225.png,1,ischemic,209,val
226,00226.png,1,ischemic,210,train
227,00227.png,1,ischemic,211,train
228,00228.png,1,ischemic,212,train
229,00229.png,1,ischemic,213,val
230,00230.png,1,ischemic,214,train
231,00231.png,1,ischemic,215,train
232,00232.png,1,ischemic,216,train
233,00233.png,1,ischemic,217,train
234,00234.png,1,ischemic,218,train
235,00235.png,1,ischemic,219,train
236,00236.png,1,ischemic,220,val
237,00237.png,1,ischemic,221,train
238,00238.png,1,ischemic,222,train
239,00239.png,1,ischemic,223,train
240,00240.png,1,ischemic,224,train
241,00241.png,1,ischemic,225,test
242,00242.png,1,ischemic,226,test
243,00243.png,1,ischemic,227,train
244,00244.png,1,ischemic,228,train
245,00245.png,1,ischemic,229,train
246,00246.png,1,ischemic,230,train
247,00247.png,1,ischemic,231,train
248,00248.png,1,ischemic,232,train
249,00249.png,1,ischemic,233,test
250,00250.png,1,ischemic,286,train
251,00251.png,1,ischemic,234,test
252,00252.png,1,ischemic,235,test
253,00253.png,1,ischemic,236,val
254,00254.png,1,ischemic,237,train
255,00255.png,1,ischemic,238,val
256,00256.png,1,ischemic,239,train
257,00257.png,1,ischemic,240,val
258,00258.png,1,ischemic,241,train
259,00259.png,1,ischemic,44,val
260,00260.png,1,ischemic,242,test
261,00261.png,1,ischemic,243,train
262,00262.png,1,ischemic,244,test
263,00263.png,1,ischemic,245,train
264,00264.png,1,ischemic,246,train
265,00265.png,1,ischemic,247,train
266,00266.png,1,ischemic,248,train
267,00267.png,1,ischemic,249,train
268,00268.png,1,ischemic,250,train
269,00269.png,1,ischemic,251,test
270,00270.png,1,ischemic,252,train
271,00271.png,1,ischemic,253,train
272,00272.png,1,ischemic,254,test
273,00273.png,1,ischemic,255,train
274,00274.png,1,ischemic,872,train
275,00275.png,1,ischemic,558,train
276,00276.png,1,ischemic,256,test
277,00277.png,1,ischemic,257,train
278,00278.png,1,ischemic,258,train
279,00279.png,1,ischemic,259,train
280,00280.png,1,ischemic,260,val
281,00281.png,1,ischemic,261,train
282,00282.png,1,ischemic,262,val
283,00283.png,1,ischemic,263,train
284,00284.png,1,ischemic,264,train
285,00285.png,1,ischemic,265,train
286,00286.png,1,ischemic,266,train
287,00287.png,1,ischemic,267,train
288,00288.png,1,ischemic,268,train
289,00289.png,1,ischemic,269,train
290,00290.png,1,ischemic,270,test
291,00291.png,1,ischemic,271,train
292,00292.png,1,ischemic,272,test
293,00293.png,1,ischemic,273,train
294,00294.png,1,ischemic,321,test
295,00295.png,1,ischemic,274,train
296,00296.png,1,ischemic,275,test
297,00297.png,1,ischemic,276,test
298,00298.png,1,ischemic,277,val
299,00299.png,1,ischemic,278,test
300,00300.png,1,ischemic,279,val
301,00301.png,1,ischemic,280,train
302,00302.png,1,ischemic,281,val
303,00303.png,1,ischemic,282,train
304,00304.png,1,ischemic,283,train
305,00305.png,1,ischemic,284,train
306,00306.png,1,ischemic,285,train
307,00307.png,1,ischemic,286,train
308,00308.png,1,ischemic,287,train
309,00309.png,1,ischemic,288,test
310,00310.png,1,ischemic,289,train
311,00311.png,1,ischemic,102,train
312,00312.png,1,ischemic,290,train
313,00313.png,1,ischemic,286,train
314,00314.png,1,ischemic,291,train
315,00315.png,1,ischemic,292,train
316,00316.png,1,ischemic,293,train
317,00317.png,1,ischemic,294,train
318,00318.png,1,ischemic,321,test
319,00319.png,1,ischemic,295,test
320,00320.png,1,ischemic,321,test
321,00321.png,1,ischemic,296,train
322,00322.png,1,ischemic,297,train
323,00323.png,1,ischemic,298,val
324,00324.png,1,ischemic,404,train
325,00325.png,1,ischemic,299,train
326,00326.png,1,ischemic,613,train
327,00327.png,1,ischemic,300,train
328,00328.png,1,ischemic,301,val
329,00329.png,1,ischemic,302,val
330,00330.png,1,ischemic,303,test
331,00331.png,1,ischemic,304,train
332,00332.png,1,ischemic,305,train
333,00333.png,1,ischemic,306,val
334,00334.png,1,ischemic,307,train
335,00335.png,1,ischemic,308,train
336,00336.png,1,ischemic,309,train
337,00337.png,1,ischemic,310,val
338,00338.png,1,ischemic,311,train
339,00339.png,1,ischemic,312,train
340,00340.png,1,ischemic,313,train
341,00341.png,1,ischemic,314,train
342,00342.png,1,ischemic,315,train
343,00343.png,1,ischemic,194,train
344,00344.png,1,ischemic,316,val
345,00345.png,1,ischemic,317,train
346,00346.png,1,ischemic,318,train
347,00347.png,1,ischemic,319,train
348,00348.png,1,ischemic,192,val
349,00349.png,1,ischemic,320,train
350,00350.png,1,ischemic,321,test
351,00351.png,1,ischemic,322,val
352,00352.png,1,ischemic,323,train
353,00353.png,1,ischemic,324,train
354,00354.png,1,ischemic,325,train
355,00355.png,1,ischemic,326,val
356,00356.png,1,ischemic,327,train
357,00357.png,1,ischemic,328,train
358,00358.png,1,ischemic,329,val
359,00359.png,1,ischemic,330,train
360,00360.png,1,ischemic,331,val
361,00361.png,1,ischemic,118,train
362,00362.png,1,ischemic,332,val
363,00363.png,1,ischemic,333,train
364,00364.png,1,ischemic,334,train
365,00365.png,1,ischemic,335,test
366,00366.png,1,ischemic,336,val
367,00367.png,1,ischemic,337,train
368,00368.png,1,ischemic,338,train
369,00369.png,1,ischemic,339,test
370,00370.png,1,ischemic,340,train
371,00371.png,1,ischemic,82,train
372,00372.png,1,ischemic,341,train
373,00373.png,1,ischemic,342,train
374,00374.png,1,ischemic,343,train
375,00375.png,1,ischemic,344,train
376,00376.png,1,ischemic,27,train
377,00377.png,1,ischemic,345,train
378,00378.png,1,ischemic,346,train
379,00379.png,1,ischemic,347,train
380,00380.png,1,ischemic,348,train
381,00381.png,1,ischemic,349,train
382,00382.png,1,ischemic,350,train
383,00383.png,1,ischemic,351,train
384,00384.png,1,ischemic,352,train
385,00385.png,1,ischemic,353,val
386,00386.png,1,ischemic,354,train
387,00387.png,1,ischemic,355,train
388,00388.png,1,ischemic,356,test
389,00389.png,1,ischemic,745,train
390,00390.png,1,ischemic,357,train
391,00391.png,1,ischemic,99,train
392,00392.png,1,ischemic,358,train
393,00393.png,1,ischemic,359,val
394,00394.png,1,ischemic,360,test
395,00395.png,1,ischemic,361,train
396,00396.png,1,ischemic,362,train
397,00397.png,1,ischemic,363,val
398,00398.png,1,ischemic,364,val
399,00399.png,1,ischemic,365,val
400,00400.png,1,ischemic,366,train
401,00401.png,1,ischemic,68,train
402,00402.png,1,ischemic,367,test
403,00403.png,1,ischemic,368,train
404,00404.png,1,ischemic,369,train
405,00405.png,1,ischemic,370,train
406,00406.png,1,ischemic,371,train
407,00407.png,1,ischemic,372,train
408,00408.png,1,ischemic,872,train
409,00409.png,1,ischemic,471,train
410,00410.png,1,ischemic,373,train
411,00411.png,1,ischemic,558,train
412,00412.png,1,ischemic,374,val
413,00413.png,1,ischemic,375,train
414,00414.png,1,ischemic,376,val
415,00415.png,1,ischemic,377,train
416,00416.png,1,ischemic,63,train
417,00417.png,1,ischemic,321,test
418,00418.png,1,ischemic,378,train
419,00419.png,1,ischemic,379,test
420,00420.png,1,ischemic,380,test
421,00421.png,1,ischemic,381,train
422,00422.png,1,ischemic,382,train
423,00423.png,1,ischemic,383,train
424,00424.png,1,ischemic,384,train
425,00425.png,1,ischemic,385,val
426,00426.png,1,ischemic,386,test
427,00427.png,1,ischemic,387,train
428,00428.png,1,ischemic,388,test
429,00429.png,1,ischemic,389,train
430,00430.png,1,ischemic,390,val
431,00431.png,1,ischemic,391,train
432,00432.png,1,ischemic,392,train
433,00433.png,1,ischemic,286,train
434,00434.png,1,ischemic,393,val
435,00435.png,1,ischemic,394,train
436,00436.png,1,ischemic,395,val
437,00437.png,1,ischemic,396,train
438,00438.png,1,ischemic,397,val
439,00439.png,1,ischemic,398,test
440,00440.png,1,ischemic,399,train
441,00441.png,1,ischemic,400,train
442,00442.png,1,ischemic,401,train
443,00443.png,1,ischemic,402,train
444,00444.png,1,ischemic,403,train
445,00445.png,1,ischemic,404,train
446,00446.png,1,ischemic,405,train
447,00447.png,1,ischemic,48,train
448,00448.png,1,ischemic,406,train
449,00449.png,1,ischemic,407,test
450,00450.png,1,ischemic,286,train
451,00451.png,1,ischemic,408,train
452,00452.png,1,ischemic,409,train
453,00453.png,1,ischemic,410,train
454,00454.png,1,ischemic,411,train
455,00455.png,1,ischemic,412,train
456,00456.png,1,ischemic,413,train
457,00457.png,1,ischemic,414,train
458,00458.png,1,ischemic,415,train
459,00459.png,1,ischemic,416,val
460,00460.png,1,ischemic,417,val
461,00461.png,1,ischemic,418,val
462,00462.png,1,ischemic,432,test
463,00463.png,1,ischemic,419,train
464,00464.png,1,ischemic,420,train
465,00465.png,1,ischemic,421,test
466,00466.png,1,ischemic,422,val
467,00467.png,1,ischemic,321,test
468,00468.png,1,ischemic,423,train
469,00469.png,1,ischemic,344,train
470,00470.png,1,ischemic,424,train
471,00471.png,1,ischemic,425,train
472,00472.png,1,ischemic,426,train
473,00473.png,1,ischemic,427,val
474,00474.png,1,ischemic,99,train
475,00475.png,1,ischemic,428,train
476,00476.png,1,ischemic,429,train
477,00477.png,1,ischemic,430,train
478,00478.png,1,ischemic,431,train
479,00479.png,1,ischemic,432,test
480,00480.png,1,ischemic,433,train
481,00481.png,1,ischemic,434,val
482,00482.png,1,ischemic,435,test
483,00483.png,1,ischemic,436,train
484,00484.png,1,ischemic,437,train
485,00485.png,1,ischemic,438,test
486,00486.png,1,ischemic,714,train
487,00487.png,1,ischemic,439,train
488,00488.png,1,ischemic,440,train
489,00489.png,1,ischemic,441,val
490,00490.png,1,ischemic,732,val
491,00491.png,1,ischemic,102,train
492,00492.png,1,ischemic,442,train
493,00493.png,1,ischemic,443,train
494,00494.png,1,ischemic,444,train
495,00495.png,1,ischemic,445,train
496,00496.png,1,ischemic,446,train
497,00497.png,1,ischemic,447,train
498,00498.png,1,ischemic,432,test
499,00499.png,1,ischemic,448,train
500,00500.png,1,ischemic,93,test
501,00501.png,1,ischemic,449,train
502,00502.png,1,ischemic,450,test
503,00503.png,1,ischemic,451,val
504,00504.png,1,ischemic,452,train
505,00505.png,1,ischemic,453,val
506,00506.png,1,ischemic,454,train
507,00507.png,1,ischemic,455,train
508,00508.png,1,ischemic,456,train
509,00509.png,1,ischemic,457,val
510,00510.png,1,ischemic,212,train
511,00511.png,1,ischemic,458,train
512,00512.png,1,ischemic,459,val
513,00513.png,1,ischemic,460,train
514,00514.png,1,ischemic,461,train
515,00515.png,1,ischemic,462,train
516,00516.png,1,ischemic,463,train
517,00517.png,1,ischemic,464,train
518,00518.png,1,ischemic,465,train
519,00519.png,1,ischemic,466,train
520,00520.png,1,ischemic,467,test
521,00521.png,1,ischemic,468,train
522,00522.png,1,ischemic,469,train
523,00523.png,1,ischemic,470,val
524,00524.png,1,ischemic,471,train
525,00525.png,1,ischemic,472,train
526,00526.png,1,ischemic,473,train
527,00527.png,1,ischemic,474,train
528,00528.png,1,ischemic,475,train
529,00529.png,1,ischemic,476,train
530,00530.png,1,ischemic,477,train
531,00531.png,1,ischemic,478,train
532,00532.png,1,ischemic,479,train
533,00533.png,1,ischemic,480,train
534,00534.png,1,ischemic,404,train
535,00535.png,1,ischemic,481,test
536,00536.png,1,ischemic,482,train
537,00537.png,1,ischemic,483,train
538,00538.png,1,ischemic,484,train
539,00539.png,1,ischemic,485,val
540,00540.png,1,ischemic,68,train
541,00541.png,1,ischemic,277,val
542,00542.png,1,ischemic,486,train
543,00543.png,1,ischemic,487,train
544,00544.png,1,ischemic,488,val
545,00545.png,1,ischemic,489,test
546,00546.png,1,ischemic,490,train
547,00547.png,1,ischemic,491,train
548,00548.png,1,ischemic,492,test
549,00549.png,1,ischemic,493,val
550,00550.png,1,ischemic,494,train
551,00551.png,1,ischemic,330,train
552,00552.png,1,ischemic,495,train
553,00553.png,1,ischemic,496,test
554,00554.png,1,ischemic,497,val
555,00555.png,1,ischemic,288,test
556,00556.png,1,ischemic,498,train
557,00557.png,1,ischemic,499,train
558,00558.png,1,ischemic,603,train
559,00559.png,1,ischemic,116,train
560,00560.png,1,ischemic,500,train
561,00561.png,1,ischemic,501,train
562,00562.png,1,ischemic,528,train
563,00563.png,1,ischemic,502,train
564,00564.png,1,ischemic,503,test
565,00565.png,1,ischemic,504,train
566,00566.png,1,ischemic,505,train
567,00567.png,1,ischemic,330,train
568,00568.png,1,ischemic,506,train
569,00569.png,1,ischemic,507,train
570,00570.png,1,ischemic,508,train
571,00571.png,1,ischemic,509,train
572,00572.png,1,ischemic,510,train
573,00573.png,1,ischemic,511,train
574,00574.png,1,ischemic,512,train
575,00575.png,1,ischemic,513,train
576,00576.png,1,ischemic,514,train
577,00577.png,1,ischemic,515,train
578,00578.png,1,ischemic,516,test
579,00579.png,1,ischemic,517,test
580,00580.png,1,ischemic,518,train
581,00581.png,1,ischemic,519,train
582,00582.png,1,ischemic,520,train
583,00583.png,1,ischemic,521,train
584,00584.png,1,ischemic,522,train
585,00585.png,1,ischemic,613,train
586,00586.png,1,ischemic,523,val
587,00587.png,1,ischemic,524,train
588,00588.png,1,ischemic,525,test
589,00589.png,1,ischemic,256,test
590,00590.png,1,ischemic,384,train
591,00591.png,1,ischemic,526,train
592,00592.png,1,ischemic,527,val
593,00593.png,1,ischemic,528,train
594,00594.png,1,ischemic,529,test
595,00595.png,1,ischemic,622,train
596,00596.png,1,ischemic,530,train
597,00597.png,1,ischemic,531,train
598,00598.png,1,ischemic,532,train
599,00599.png,1,ischemic,533,train
600,00600.png,1,ischemic,534,train
601,00601.png,1,ischemic,535,val
602,00602.png,1,ischemic,536,train
603,00603.png,1,ischemic,537,train
604,00604.png,1,ischemic,538,test
605,00605.png,1,ischemic,539,train
606,00606.png,1,ischemic,540,train
607,00607.png,1,ischemic,541,train
608,00608.png,1,ischemic,542,train
609,00609.png,1,ischemic,543,val
610,00610.png,1,ischemic,544,train
611,00611.png,1,ischemic,545,train
612,00612.png,1,ischemic,546,val
613,00613.png,1,ischemic,547,train
614,00614.png,1,ischemic,548,val
615,00615.png,1,ischemic,549,test
616,00616.png,1,ischemic,550,train
617,00617.png,1,ischemic,551,train
618,00618.png,1,ischemic,445,train
619,00619.png,1,ischemic,552,train
620,00620.png,1,ischemic,553,train
621,00621.png,1,ischemic,554,train
622,00622.png,1,ischemic,321,test
623,00623.png,1,ischemic,555,val
624,00624.png,1,ischemic,556,train
625,00625.png,1,ischemic,557,train
626,00626.png,1,ischemic,558,train
627,00627.png,1,ischemic,559,train
628,00628.png,1,ischemic,560,train
629,00629.png,1,ischemic,561,train
630,00630.png,1,ischemic,562,train
631,00631.png,1,ischemic,563,train
632,00632.png,1,ischemic,564,train
633,00633.png,1,ischemic,565,train
634,00634.png,1,ischemic,566,train
635,00635.png,1,ischemic,567,train
636,00636.png,1,ischemic,568,test
637,00637.png,1,ischemic,569,train
638,00638.png,1,ischemic,570,train
639,00639.png,1,ischemic,393,val
640,00640.png,1,ischemic,571,train
641,00641.png,1,ischemic,872,train
642,00642.png,1,ischemic,572,test
643,00643.png,1,ischemic,96,test
644,00644.png,1,ischemic,573,train
645,00645.png,1,ischemic,574,train
646,00646.png,1,ischemic,575,test
647,00647.png,1,ischemic,398,test
648,00648.png,1,ischemic,576,train
649,00649.png,1,ischemic,577,val
650,00650.png,1,ischemic,578,test
651,00651.png,1,ischemic,579,test
652,00652.png,1,ischemic,580,val
653,00653.png,1,ischemic,581,train
654,00654.png,1,ischemic,582,train
655,00655.png,1,ischemic,583,train
656,00656.png,1,ischemic,584,train
657,00657.png,1,ischemic,279,val
658,00658.png,1,ischemic,585,train
659,00659.png,1,ischemic,586,train
660,00660.png,1,ischemic,695,train
661,00661.png,1,ischemic,587,train
662,00662.png,1,ischemic,588,train
663,00663.png,1,ischemic,589,train
664,00664.png,1,ischemic,590,train
665,00665.png,1,ischemic,591,val
666,00666.png,1,ischemic,592,train
667,00667.png,1,ischemic,593,train
668,00668.png,1,ischemic,594,train
669,00669.png,1,ischemic,595,train
670,00670.png,1,ischemic,596,train
671,00671.png,1,ischemic,597,test
672,00672.png,1,ischemic,598,val
673,00673.png,1,ischemic,599,test
674,00674.png,1,ischemic,11,train
675,00675.png,1,ischemic,600,train
676,00676.png,1,ischemic,601,test
677,00677.png,1,ischemic,602,test
678,00678.png,1,ischemic,603,train
679,00679.png,1,ischemic,604,val
680,00680.png,1,ischemic,605,train
681,00681.png,1,ischemic,606,val
682,00682.png,1,ischemic,607,train
683,00683.png,1,ischemic,608,train
684,00684.png,1,ischemic,609,test
685,00685.png,1,ischemic,610,train
686,00686.png,1,ischemic,611,val
687,00687.png,1,ischemic,528,train
688,00688.png,1,ischemic,612,train
689,00689.png,1,ischemic,298,val
690,00690.png,1,ischemic,68,train
691,00691.png,1,ischemic,613,train
692,00692.png,1,ischemic,614,train
693,00693.png,1,ischemic,615,train
694,00694.png,1,ischemic,616,train
695,00695.png,1,ischemic,617,train
696,00696.png,1,ischemic,321,test
697,00697.png,1,ischemic,618,val
698,00698.png,1,ischemic,619,test
699,00699.png,1,ischemic,620,train
700,00700.png,1,ischemic,621,train
701,00701.png,1,ischemic,622,train
702,00702.png,1,ischemic,623,train
703,00703.png,1,ischemic,528,train
704,00704.png,1,ischemic,624,train
705,00705.png,1,ischemic,625,train
706,00706.png,1,ischemic,225,test
707,00707.png,1,ischemic,626,train
708,00708.png,1,ischemic,627,train
709,00709.png,1,ischemic,321,test
710,00710.png,1,ischemic,628,train
711,00711.png,1,ischemic,398,test
712,00712.png,1,ischemic,629,train
713,00713.png,1,ischemic,630,val
714,00714.png,1,ischemic,631,train
715,00715.png,1,ischemic,632,train
716,00716.png,1,ischemic,633,train
717,00717.png,1,ischemic,634,train
718,00718.png,1,ischemic,75,train
719,00719.png,1,ischemic,635,val
720,00720.png,1,ischemic,636,train
721,00721.png,1,ischemic,637,val
722,00722.png,1,ischemic,638,val
723,00723.png,1,ischemic,639,train
724,00724.png,1,ischemic,640,train
725,00725.png,1,ischemic,548,val
726,00726.png,1,ischemic,419,train
727,00727.png,1,ischemic,641,train
728,00728.png,1,ischemic,642,test
729,00729.png,1,ischemic,643,train
730,00730.png,1,ischemic,500,train
731,00731.png,1,ischemic,644,val
732,00732.png,1,ischemic,410,train
733,00733.png,1,ischemic,645,train
734,00734.png,1,ischemic,646,val
735,00735.png,1,ischemic,647,train
736,00736.png,1,ischemic,648,train
737,00737.png,1,ischemic,649,test
738,00738.png,1,ischemic,97,train
739,00739.png,1,ischemic,650,train
740,00740.png,1,ischemic,651,train
741,00741.png,1,ischemic,652,train
742,00742.png,1,ischemic,762,train
743,00743.png,1,ischemic,653,train
744,00744.png,1,ischemic,654,test
745,00745.png,1,ischemic,655,test
746,00746.png,1,ischemic,656,train
747,00747.png,1,ischemic,657,train
748,00748.png,1,ischemic,286,train
749,00749.png,1,ischemic,530,train
750,00750.png,1,ischemic,658,train
751,00751.png,1,ischemic,659,train
752,00752.png,1,ischemic,660,train
753,00753.png,1,ischemic,321,test
754,00754.png,1,ischemic,661,test
755,00755.png,1,ischemic,662,train
756,00756.png,1,ischemic,663,train
757,00757.png,1,ischemic,664,test
758,00758.png,1,ischemic,665,test
759,00759.png,1,ischemic,321,test
760,00760.png,1,ischemic,666,test
761,00761.png,1,ischemic,667,train
762,00762.png,1,ischemic,668,train
763,00763.png,1,ischemic,669,train
764,00764.png,1,ischemic,670,train
765,00765.png,1,ischemic,671,train
766,00766.png,1,ischemic,475,train
767,00767.png,1,ischemic,672,train
768,00768.png,1,ischemic,673,val
769,00769.png,1,ischemic,674,train
770,00770.png,1,ischemic,675,train
771,00771.png,1,ischemic,676,train
772,00772.png,1,ischemic,677,val
773,00773.png,1,ischemic,678,train
774,00774.png,1,ischemic,679,val
775,00775.png,1,ischemic,390,val
